,,y,,x
117611.6822,122000,0.964030182,117.6116822,118
118566.2481,123000,0.963953237,118.5662481,119
119520.8309,124000,0.963877668,119.5208309,120
120475.4315,125000,0.963803452,120.4754315,120
121430.0511,126000,0.963730564,121.4300511,121
122384.6905,127000,0.96365898,122.3846905,122
123339.3506,128000,0.963588677,123.3393506,123
124294.0325,129000,0.963519632,124.2940325,124
125248.7368,130000,0.963451822,125.2487368,125
126203.4645,131000,0.963385225,126.2034645,126
127158.2163,132000,0.96331982,127.1582163,127
128112.9929,133000,0.963255585,128.1129929,128
129067.795,134000,0.9631925,129.067795,129
130022.6234,135000,0.963130544,130.0226234,130
130977.4786,136000,0.963069696,130.9774786,131
131932.3613,137000,0.963009936,131.9323613,132
132887.272,138000,0.962951246,132.887272,133
133842.2113,139000,0.962893607,133.8422113,134
134797.1797,140000,0.962836998,134.7971797,135
135752.1778,141000,0.962781403,135.7521778,136
136707.2059,142000,0.962726802,136.7072059,137
137662.2644,143000,0.962673178,137.6622644,138
138617.354,144000,0.962620514,138.617354,139
139572.4748,145000,0.962568792,139.5724748,140
140527.6273,146000,0.962517995,140.5276273,141
141482.8118,147000,0.962468108,141.4828118,141
142438.0287,148000,0.962419113,142.4380287,142
143393.2782,149000,0.962370994,143.3932782,143
144348.5606,150000,0.962323737,144.3485606,144
145303.8761,151000,0.962277325,145.3038761,145
146259.2251,152000,0.962231744,146.2592251,146
147214.6077,153000,0.962186978,147.2146077,147
148170.0241,154000,0.962143014,148.1700241,148
149125.4746,155000,0.962099836,149.1254746,149
150080.9592,156000,0.96205743,150.0809592,150
151036.4781,157000,0.962015784,151.0364781,151
151992.0314,158000,0.961974882,151.9920314,152
152947.6194,159000,0.961934713,152.9476194,153
153903.2419,160000,0.961895262,153.9032419,154
154858.8993,161000,0.961856517,154.8588993,155
155814.5915,162000,0.961818466,155.8145915,156
156770.3185,163000,0.961781095,156.7703185,157
157726.0805,164000,0.961744393,157.7260805,158
158681.8774,165000,0.961708348,158.6818774,159
159637.7093,166000,0.961672947,159.6377093,160
160593.5762,167000,0.961638181,160.5935762,161
161549.478,168000,0.961604036,161.549478,162
162505.4148,169000,0.961570502,162.5054148,163
163461.3866,170000,0.961537568,163.4613866,163
164417.3933,171000,0.961505224,164.4173933,164
165373.4348,172000,0.961473458,165.3734348,165
166329.5111,173000,0.961442261,166.3295111,166
167285.6222,174000,0.961411622,167.2856222,167
168241.7679,175000,0.961381531,168.2417679,168
169197.9482,176000,0.961351978,169.1979482,169
170154.163,177000,0.961322955,170.154163,170
171110.4122,178000,0.961294451,171.1104122,171
172066.6957,179000,0.961266456,172.0666957,172
173023.0134,180000,0.961238963,173.0230134,173
173979.3651,181000,0.961211962,173.9793651,174
174935.7507,182000,0.961185444,174.9357507,175
175892.1702,183000,0.9611594,175.8921702,176
176848.6233,184000,0.961133822,176.8486233,177
177805.1099,185000,0.961108702,177.8051099,178
178761.6299,186000,0.961084032,178.7616299,179
179718.1831,187000,0.961059803,179.7181831,180
180674.7694,188000,0.961036007,180.6747694,181
181631.3885,189000,0.961012638,181.6313885,182
182588.0404,190000,0.960989686,182.5880404,183
