0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.00000;0.00000;0.00000
0.27778;0.27778;0.13889
0.58333;0.30556;0.56944
1.44444;0.86111;1.58333
2.55556;1.11111;3.58333
3.75000;1.19444;6.73611
5.02778;1.27778;11.12500
6.19444;1.16667;16.73611
7.22222;1.02778;23.44444
8.13889;0.91667;31.12500
9.11111;0.97222;39.75000
10.00000;0.88889;49.30556
10.88889;0.88889;59.75000
11.80556;0.91667;71.09722
12.69444;0.88889;83.34722
13.38889;0.69444;96.38889
13.44444;0.05556;109.80556
13.38889;-0.05556;123.27778
13.27778;-0.11111;136.72222
13.05556;-0.22222;150.11111
12.75000;-0.30556;163.31944
12.47222;-0.27778;176.20833
12.33333;-0.13889;188.75000
12.30556;-0.02778;201.09722
12.36111;0.05556;213.43056
12.52778;0.16667;225.87500
12.69444;0.16667;238.48611
12.77778;0.08333;251.22222
12.77778;0.00000;264.00000
12.77778;0.00000;276.77778
12.80556;0.02778;289.56944
12.97222;0.16667;302.45833
13.25000;0.27778;315.56944
13.58333;0.33333;328.98611
13.97222;0.38889;342.76389
14.33333;0.36111;356.91667
14.61111;0.27778;371.38889
14.72222;0.11111;386.05556
14.72222;0.00000;400.77778
14.69444;-0.02778;415.51389
14.63889;-0.05556;430.23611
14.61111;-0.02778;444.88889
14.75000;0.13889;459.56944
15.08333;0.33333;474.48611
15.33333;0.25000;489.69444
15.41667;0.08333;505.06944
15.52778;0.11111;520.54167
15.63889;0.11111;536.12500
15.75000;0.11111;551.81944
15.80556;0.05556;567.59722
15.77778;-0.02778;583.41667
15.55556;-0.22222;599.30556
15.05556;-0.50000;615.11111
14.47222;-0.58333;630.45833
13.91667;-0.55556;645.20833
13.11111;-0.80556;659.52778
12.00000;-1.11111;673.19444
10.88889;-1.11111;685.75000
10.13889;-0.75000;697.01389
9.52778;-0.61111;707.45833
8.61111;-0.91667;717.44444
7.22222;-1.38889;726.75000
5.75000;-1.47222;734.70833
4.27778;-1.47222;741.19444
3.63889;-0.63889;745.79167
3.33333;-0.30556;749.58333
3.47222;0.13889;752.98611
3.88889;0.41667;756.66667
5.27778;1.38889;761.25000
6.44444;1.16667;767.11111
7.77778;1.33333;774.22222
8.88889;1.11111;782.55556
9.44444;0.55556;791.72222
10.00000;0.55556;801.44444
10.55556;0.55556;811.72222
11.11111;0.55556;822.55556
11.19444;0.08333;833.70833
11.25000;0.05556;844.93056
10.83333;-0.41667;856.38889
9.91667;-0.91667;867.68056
8.83333;-1.08333;878.13889
7.52778;-1.30556;887.62500
6.33333;-1.19444;895.75000
5.86111;-0.47222;902.31944
5.25000;-0.61111;908.48611
5.25000;0.00000;913.73611
5.91667;0.66667;919.31944
6.63889;0.72222;925.59722
7.19444;0.55556;932.51389
7.88889;0.69444;940.05556
8.41667;0.52778;948.20833
8.58333;0.16667;956.70833
8.63889;0.05556;965.31944
8.83333;0.19444;974.05556
9.08333;0.25000;983.01389
9.22222;0.13889;992.16667
9.00000;-0.22222;1001.50000
7.86111;-1.13889;1011.06944
7.16667;-0.69444;1019.27778
6.41667;-0.75000;1026.81944
6.05556;-0.36111;1033.41667
5.88889;-0.16667;1039.55556
5.83333;-0.05556;1045.47222
5.83333;0.00000;1051.30556
5.80556;-0.02778;1057.15278
5.52778;-0.27778;1063.09722
4.97222;-0.55556;1068.90278
4.19444;-0.77778;1074.26389
3.55556;-0.63889;1078.77778
3.33333;-0.22222;1082.44444
3.66667;0.33333;1085.94444
4.75000;1.08333;1090.15278
5.86111;1.11111;1095.45833
6.05556;0.19444;1101.41667
5.88889;-0.16667;1107.55556
5.13889;-0.75000;1113.81944
3.86111;-1.27778;1119.59722
3.33333;-0.52778;1123.72222
3.33333;0.00000;1127.05556
3.61111;0.27778;1130.52778
4.52778;0.91667;1134.59722
5.69444;1.16667;1139.70833
6.63889;0.94444;1145.87500
7.22222;0.58333;1152.80556
7.77778;0.55556;1160.30556
8.75000;0.97222;1168.56944
9.27778;0.52778;1177.58333
10.00000;0.72222;1187.22222
10.50000;0.50000;1197.47222
11.16667;0.66667;1208.30556
11.55556;0.38889;1219.66667
11.63889;0.08333;1231.26389
11.66667;0.02778;1242.91667
11.72222;0.05556;1254.61111
11.77778;0.05556;1266.36111
11.86111;0.08333;1278.18056
11.97222;0.11111;1290.09722
12.13889;0.16667;1302.15278
12.22222;0.08333;1314.33333
12.25000;0.02778;1326.56944
12.58333;0.33333;1338.98611
12.88889;0.30556;1351.72222
13.11111;0.22222;1364.72222
13.13889;0.02778;1377.84722
13.16667;0.02778;1391.00000
13.16667;0.00000;1404.16667
13.19444;0.02778;1417.34722
13.30556;0.11111;1430.59722
13.50000;0.19444;1444.00000
13.72222;0.22222;1457.61111
13.83333;0.11111;1471.38889
13.83333;0.00000;1485.22222
13.80556;-0.02778;1499.06944
13.69444;-0.11111;1512.93056
13.47222;-0.22222;1526.73611
13.22222;-0.25000;1540.33333
12.86111;-0.36111;1553.73611
12.13889;-0.72222;1566.95833
10.91667;-1.22222;1579.70833
9.47222;-1.44444;1591.34722
8.05556;-1.41667;1601.52778
6.58333;-1.47222;1610.31944
5.11111;-1.47222;1617.63889
3.97222;-1.13889;1623.31944
3.33333;-0.63889;1627.61111
3.55556;0.22222;1631.05556
4.44444;0.88889;1635.05556
5.66667;1.22222;1640.11111
